STAGE_ID,ORGANIZATION_ID,CREATED_AT,ARCHIVED,TITLE,STAGE_ORDER,STAGE_TYPE,INTERVIEW_STAGE_GROUP_ID,STAGE_GROUP_ID,STAGE_GROUP_TITLE,STAGE_GROUP_TYPE,STAGE_GROUP_ORDER
cc66a831-dd1c-489b-81c4-8b824b50b701,79a81a50-3045-47b6-84ae-8cd2d981845e,2024-06-07 18:53:23.915 Z,true,Virtual Onsite,8,Active,,,,,
b5bd8416-2519-49a8-b24f-98eb81e5d593,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-01 22:51:45.204 Z,true,HM Review,1,Lead,,,,,
b67283af-2056-4a14-9909-6ab784aeef22,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-11-10 23:28:50.777 Z,true,,3,Lead,,,,,
f91d90e1-8df1-48ff-9bf3-b40d06971bf0,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-02-15 19:08:06.394 Z,true,Offer Accepted,13,Active,,,,,
b497e234-d97f-4fb8-a10c-d15975e3fb90,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-02-15 19:06:56.810 Z,true,Joined,14,Active,,,,,
5c55ca3b-6897-4ec4-9270-6d53c6f6b569,79a81a50-3045-47b6-84ae-8cd2d981845e,2024-06-28 20:40:08.620 Z,true,Virtual Onsite - 2,9,Active,,,,,
eb3ad1bd-3299-43b4-8dbb-db486c5d36e1,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-02-07 22:55:40.845 Z,true,,3,Lead,,,,,
5a00ab4e-f7be-481e-8b91-b660dc55daea,79a81a50-3045-47b6-84ae-8cd2d981845e,2024-06-28 20:40:08.620 Z,true,Initial Recruiter Screen,6,Active,,,,,
d95a5947-2823-43cd-a6d0-6a4193e5c432,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-10-25 17:38:43.097 Z,true,HM Review,1,Lead,,,,,
a6c4e277-9778-44e2-b7ae-c1aaac62ef90,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-02-07 22:55:40.845 Z,true,,3,Lead,,,,,
d96c2f6c-cc3d-4f96-9f81-bb266a09d08c,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-09-16 23:08:04.351 Z,true,Virtual Onsite - 2,9,Active,,,,,
a86f4a8c-8b14-420e-bda7-41c50c99cd1b,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-01 23:03:44.463 Z,true,Hiring Manager Review (If Applicable),1,Lead,,,,,
570a0094-9b6a-4cb9-9c9c-b2967ff23478,79a81a50-3045-47b6-84ae-8cd2d981845e,2023-08-02 23:24:54.890 Z,false,Virtual Onsite ,10,Active,,,,,
2ece0b0d-180c-457d-8014-ee6399aba2a9,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-01 23:03:44.463 Z,true,Hiring Manager Review (If Applicable),1,Lead,,,,,
34376ed8-5e82-4e6b-b53d-e3e9055a46b8,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-01 22:51:45.204 Z,true,HM Review,1,Lead,,,,,
6a0d0ae1-8e01-4fae-9f18-867281501c8d,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-01 22:55:06.194 Z,true,Virtual Onsite - 2,9,Active,,,,,
06156853-d191-4365-9c3d-4d643bccd9a0,79a81a50-3045-47b6-84ae-8cd2d981845e,2021-11-01 23:03:44.463 Z,true,Hiring Manager Review (If Applicable),1,Lead,,,,,
bd940297-041f-4f5b-ac75-c6d9c7db766e,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-02-15 19:08:06.394 Z,true,Offer Accepted,13,Active,,,,,
8718e05c-10fe-45e8-ac1f-0c2a992d5e87,79a81a50-3045-47b6-84ae-8cd2d981845e,2022-02-07 22:55:40.845 Z,true,,3,Lead,,,,,
1176b3b5-bb58-4517-9416-e40084a6a3cd,79a81a50-3045-47b6-84ae-8cd2d981845e,2023-01-25 00:51:36.927 Z,true,HM Review,1,Lead,,,,,
